interseccion,via_a,via_b,latitud,longitud
"Avenida 1 Norte | Calle 4 Norte","Avenida 1 Norte","Calle 4 Norte","3.4510876","-76.5384836"
"Avenida 1 Norte | Calle 5 Norte","Avenida 1 Norte","Calle 5 Norte","3.4514015","-76.5378498"
"Avenida 1 Norte | Calle 5 Oeste","Avenida 1 Norte","Calle 5 Oeste","3.4507085","-76.545865"
"Avenida 1 Norte | Calle 6 Norte","Avenida 1 Norte","Calle 6 Norte","3.4516948","-76.5372763"
"Avenida 1 Norte | Calle 7 Norte","Avenida 1 Norte","Calle 7 Norte","3.4520901","-76.5366992"
"Avenida 1 Norte | Calle 9A Norte","Avenida 1 Norte","Calle 9A Norte","3.4537332","-76.5357915"
"Avenida 10 | Calle 10 Norte","Avenida 10","Calle 10 Norte","3.4571213","-76.5377826"
"Avenida 10 | Calle 12 Norte","Avenida 10","Calle 12 Norte","3.4585766","-76.5371201"
"Avenida 10 | Calle 14 Norte","Avenida 10","Calle 14 Norte","3.4597267","-76.536186"
"Avenida 10 | Calle 15A Norte","Avenida 10","Calle 15A Norte","3.4609973","-76.5351631"
"Avenida 10 | Calle 15B Norte","Avenida 10","Calle 15B Norte","3.4612773","-76.5350803"
"Avenida 10 | Calle 16 Norte","Avenida 10","Calle 16 Norte","3.4616026","-76.534418"
"Avenida 10 | Calle 18 Norte","Avenida 10","Calle 18 Norte","3.4626329","-76.5355535"
"Avenida 10 | Calle 19","Avenida 10","Calle 19","3.4560604","-76.5590093"
"Avenida 10 | Calle 19 Norte","Avenida 10","Calle 19 Norte","3.4630475","-76.5354717"
"Avenida 10 | Calle 19 Oeste","Avenida 10","Calle 19 Oeste","3.455634","-76.559565"
"Avenida 10 | Calle 21A Norte","Avenida 10","Calle 21A Norte","3.4637406","-76.5350417"
"Avenida 10 | Calle 22 Bis Norte","Avenida 10","Calle 22 Bis Norte","3.4648935","-76.5339547"
"Avenida 10 Norte | Calle 51 Norte","Avenida 10 Norte","Calle 51 Norte","3.4857468","-76.5323067"
"Avenida 10 Norte | Calle 53 Norte","Avenida 10 Norte","Calle 53 Norte","3.4864072","-76.5322838"
"Avenida 11 | Calle 10 Norte","Avenida 11","Calle 10 Norte","3.4573864","-76.5380845"
"Avenida 15 Oeste | Calle 11 Oeste","Avenida 15 Oeste","Calle 11 Oeste","3.4596783","-76.55561"
"Avenida 15 Oeste | Calle 6 Oeste","Avenida 15 Oeste","Calle 6 Oeste","3.4579764","-76.5493617"
"Avenida 15 Oeste | Calle 7 Oeste","Avenida 15 Oeste","Calle 7 Oeste","3.4582659","-76.5496586"
"Avenida 2 Bis Norte | Avenida 4 Norte","Avenida 2 Bis Norte","Avenida 4 Norte","3.4718797","-76.5244628"
"Avenida 2 Bis Norte | Calle 24 Norte","Avenida 2 Bis Norte","Calle 24 Norte","3.4678649","-76.5236675"
"Avenida 2 Bis Norte | Calle 25 Norte","Avenida 2 Bis Norte","Calle 25 Norte","3.4685064","-76.523827"
"Avenida 2 Bis Norte | Calle 35 Norte","Avenida 2 Bis Norte","Calle 35 Norte","3.4729214","-76.5249463"
"Avenida 2 Bis Norte | Calle 72B Norte","Avenida 2 Bis Norte","Calle 72B Norte","3.4910727","-76.5034985"
"Avenida 2 Bis Norte | Calle 73 Norte","Avenida 2 Bis Norte","Calle 73 Norte","3.4913033","-76.5032748"
"Avenida 2 Norte | Avenida 2A Norte","Avenida 2 Norte","Avenida 2A Norte","3.488802","-76.5037023"
"Avenida 2 Norte | Calle 10","Avenida 2 Norte","Calle 10","3.4545199","-76.5349612"
"Avenida 2 Norte | Calle 12 Norte","Avenida 2 Norte","Calle 12 Norte","3.4554689","-76.5336399"
"Avenida 2 Norte | Calle 13 Norte","Avenida 2 Norte","Calle 13 Norte","3.456076","-76.5327695"
"Avenida 2 Norte | Calle 14 Norte","Avenida 2 Norte","Calle 14 Norte","3.4565531","-76.5321092"
"Avenida 2 Norte | Calle 17 Norte","Avenida 2 Norte","Calle 17 Norte","3.4580087","-76.5302149"
"Avenida 2 Norte | Calle 18 Norte","Avenida 2 Norte","Calle 18 Norte","3.4580798","-76.5290506"
"Avenida 2 Norte | Calle 19 Norte","Avenida 2 Norte","Calle 19 Norte","3.4584066","-76.5281898"
"Avenida 2 Norte | Calle 20 Norte","Avenida 2 Norte","Calle 20 Norte","3.4596533","-76.5274262"
"Avenida 2 Norte | Calle 21 Norte","Avenida 2 Norte","Calle 21 Norte","3.4602258","-76.5270028"
"Avenida 2 Norte | Calle 22 Norte","Avenida 2 Norte","Calle 22 Norte","3.461123","-76.5258627"
"Avenida 2 Norte | Calle 23 Norte","Avenida 2 Norte","Calle 23 Norte","3.4618124","-76.5251467"
"Avenida 2 Norte | Calle 23A Norte","Avenida 2 Norte","Calle 23A Norte","3.4624049","-76.5245041"
"Avenida 2 Norte | Calle 24 Norte","Avenida 2 Norte","Calle 24 Norte","3.4626202","-76.5240335"
"Avenida 2 Norte | Calle 25 Norte","Avenida 2 Norte","Calle 25 Norte","3.4626176","-76.5219522"
"Avenida 2 Norte | Calle 26","Avenida 2 Norte","Calle 26","3.4626934","-76.5208174"
"Avenida 2 Norte | Calle 4 Norte","Avenida 2 Norte","Calle 4 Norte","3.4521415","-76.5389524"
"Avenida 2 Norte | Calle 5 Norte","Avenida 2 Norte","Calle 5 Norte","3.4524197","-76.5383426"
"Avenida 2 Norte | Calle 6 Norte","Avenida 2 Norte","Calle 6 Norte","3.4527063","-76.5377143"
"Avenida 2 Norte | Calle 7 Norte","Avenida 2 Norte","Calle 7 Norte","3.4529918","-76.5371034"
"Avenida 2 Norte | Calle 72","Avenida 2 Norte","Calle 72","3.4906577","-76.5026258"
"Avenida 2 Norte | Calle 73A Norte","Avenida 2 Norte","Calle 73A Norte","3.4909525","-76.5024435"
"Avenida 2 Norte | Calle 73B Norte","Avenida 2 Norte","Calle 73B Norte","3.4912377","-76.5022697"
"Avenida 2 Norte | Calle 73C Norte","Avenida 2 Norte","Calle 73C Norte","3.491573","-76.5020586"
"Avenida 2 Norte | Calle 74 Norte","Avenida 2 Norte","Calle 74 Norte","3.4918802","-76.5018694"
"Avenida 2 Norte | Calle 74A Norte","Avenida 2 Norte","Calle 74A Norte","3.4921825","-76.5016901"
"Avenida 2 Norte | Calle 74B Norte","Avenida 2 Norte","Calle 74B Norte","3.4924452","-76.5014894"
"Avenida 2 Norte | Calle 74C Norte","Avenida 2 Norte","Calle 74C Norte","3.4927419","-76.5013028"
"Avenida 2 Norte | Calle 75 Norte","Avenida 2 Norte","Calle 75 Norte","3.4930584","-76.5010963"
"Avenida 2 Norte | Calle 75A Norte","Avenida 2 Norte","Calle 75A Norte","3.4933637","-76.5008395"
"Avenida 2 Norte | Calle 75B Norte","Avenida 2 Norte","Calle 75B Norte","3.4935995","-76.5006504"
"Avenida 2 Norte | Calle 8 Norte","Avenida 2 Norte","Calle 8 Norte","3.453376","-76.5362821"
"Avenida 2 Oeste | Calle 10 Oeste","Avenida 2 Oeste","Calle 10 Oeste","3.4524535","-76.551097"
"Avenida 2 Oeste | Calle 11 Oeste","Avenida 2 Oeste","Calle 11 Oeste","3.4518581","-76.5523285"
"Avenida 2 Oeste | Calle 12 Oeste","Avenida 2 Oeste","Calle 12 Oeste","3.4511492","-76.5533561"
"Avenida 2 Oeste | Carrera 2 Oeste","Avenida 2 Oeste","Carrera 2 Oeste","3.4471583","-76.5585463"
"Avenida 2A Bis Norte | Calle 31 Norte","Avenida 2A Bis Norte","Calle 31 Norte","3.4649671","-76.5204499"
"Avenida 2A Bis Norte | Calle 32 Norte","Avenida 2A Bis Norte","Calle 32 Norte","3.4667529","-76.5196125"
"Avenida 2A Bis Norte | Calle 72A Norte","Avenida 2A Bis Norte","Calle 72A Norte","3.491258","-76.504151"
"Avenida 2A Bis Norte | Calle 72B Norte","Avenida 2A Bis Norte","Calle 72B Norte","3.491482","-76.5039086"
"Avenida 2A Bis Norte | Calle 75 Norte","Avenida 2A Bis Norte","Calle 75 Norte","3.4938095","-76.5017914"
"Avenida 2A Bis Norte | Calle 75A Norte","Avenida 2A Bis Norte","Calle 75A Norte","3.4940662","-76.5015313"
"Avenida 2A Bis Norte | Calle 75B Norte","Avenida 2A Bis Norte","Calle 75B Norte","3.4942816","-76.5013125"
"Avenida 2A Bis Norte | Calle 75C Norte","Avenida 2A Bis Norte","Calle 75C Norte","3.4945592","-76.5010277"
"Avenida 2A Bis Norte | Calle 75D Norte","Avenida 2A Bis Norte","Calle 75D Norte","3.494774","-76.5007961"
"Avenida 2A Norte | Calle 28 Norte","Avenida 2A Norte","Calle 28 Norte","3.4701604","-76.5246832"
"Avenida 2A Norte | Calle 30 Norte","Avenida 2A Norte","Calle 30 Norte","3.4627774","-76.5207841"
"Avenida 2A Norte | Calle 31 Norte","Avenida 2A Norte","Calle 31 Norte","3.4643351","-76.520054"
"Avenida 2A Norte | Calle 32 Norte","Avenida 2A Norte","Calle 32 Norte","3.4664814","-76.519003"
"Avenida 2A Norte | Calle 32A Norte","Avenida 2A Norte","Calle 32A Norte","3.4671957","-76.5188194"
"Avenida 2A Norte | Calle 33 Norte","Avenida 2A Norte","Calle 33 Norte","3.4678711","-76.5186406"
"Avenida 2A Norte | Calle 33A Norte","Avenida 2A Norte","Calle 33A Norte","3.4682087","-76.51855"
"Avenida 2A Norte | Calle 34 Norte","Avenida 2A Norte","Calle 34 Norte","3.468988","-76.5183535"
"Avenida 2A Norte | Calle 34A Norte","Avenida 2A Norte","Calle 34A Norte","3.4696608","-76.5179546"
"Avenida 2A Norte | Calle 35A Norte","Avenida 2A Norte","Calle 35A Norte","3.4704411","-76.5174709"
"Avenida 2A Norte | Calle 36 Norte","Avenida 2A Norte","Calle 36 Norte","3.4708696","-76.5172184"
"Avenida 2A Norte | Calle 36A Norte","Avenida 2A Norte","Calle 36A Norte","3.471288","-76.5170404"
"Avenida 2A Norte | Calle 37 Norte","Avenida 2A Norte","Calle 37 Norte","3.4716895","-76.5167856"
"Avenida 2A Norte | Calle 37A Norte","Avenida 2A Norte","Calle 37A Norte","3.4720708","-76.5165375"
"Avenida 2A Norte | Calle 38 Norte","Avenida 2A Norte","Calle 38 Norte","3.472453","-76.51627"
"Avenida 2A Norte | Calle 38A Norte","Avenida 2A Norte","Calle 38A Norte","3.4728547","-76.5160089"
"Avenida 2A Norte | Calle 39 Norte","Avenida 2A Norte","Calle 39 Norte","3.4733337","-76.5156876"
"Avenida 2A Norte | Calle 44 Norte","Avenida 2A Norte","Calle 44 Norte","3.47499","-76.5143886"
"Avenida 2A Norte | Calle 45 Norte","Avenida 2A Norte","Calle 45 Norte","3.477098","-76.5129813"
"Avenida 2A Norte | Calle 46A Norte","Avenida 2A Norte","Calle 46A Norte","3.4774803","-76.5126955"
"Avenida 2A Norte | Calle 47 Norte","Avenida 2A Norte","Calle 47 Norte","3.4778948","-76.5124048"
"Avenida 2A Norte | Calle 47A Norte","Avenida 2A Norte","Calle 47A Norte","3.478269","-76.5121225"
"Avenida 2A Norte | Calle 47B Norte","Avenida 2A Norte","Calle 47B Norte","3.4786577","-76.5118254"
"Avenida 2A Norte | Calle 47C Norte","Avenida 2A Norte","Calle 47C Norte","3.4790308","-76.5115526"
"Avenida 2A Norte | Calle 48 Norte","Avenida 2A Norte","Calle 48 Norte","3.4794216","-76.5112577"
"Avenida 2A Norte | Calle 49 Norte","Avenida 2A Norte","Calle 49 Norte","3.4798009","-76.5110045"
"Avenida 2A Norte | Calle 50 Norte","Avenida 2A Norte","Calle 50 Norte","3.4802377","-76.5106786"
"Avenida 2A Norte | Calle 51 Norte","Avenida 2A Norte","Calle 51 Norte","3.4806964","-76.5103223"
"Avenida 2A Norte | Calle 52 Norte","Avenida 2A Norte","Calle 52 Norte","3.4813583","-76.5097846"
"Avenida 2A Norte | Calle 53 Norte","Avenida 2A Norte","Calle 53 Norte","3.4823606","-76.5088638"
"Avenida 2A Norte | Calle 55 Norte","Avenida 2A Norte","Calle 55 Norte","3.4827948","-76.5077082"
"Avenida 2A Norte | Calle 56 Norte","Avenida 2A Norte","Calle 56 Norte","3.4831696","-76.506641"
"Avenida 2A Norte | Calle 58 Norte","Avenida 2A Norte","Calle 58 Norte","3.4839171","-76.5056109"
"Avenida 2A Norte | Calle 61 Norte","Avenida 2A Norte","Calle 61 Norte","3.4849224","-76.5048991"
"Avenida 2A Norte | Calle 62A Norte","Avenida 2A Norte","Calle 62A Norte","3.4858237","-76.5046189"
"Avenida 2A Norte | Calle 67 Norte","Avenida 2A Norte","Calle 67 Norte","3.4877039","-76.5042342"
"Avenida 2A Norte | Calle 73 Norte","Avenida 2A Norte","Calle 73 Norte","3.4914809","-76.5034438"
"Avenida 2A Norte | Calle 73A Norte","Avenida 2A Norte","Calle 73A Norte","3.4917341","-76.5032006"
"Avenida 2A Norte | Calle 73B Norte","Avenida 2A Norte","Calle 73B Norte","3.4919695","-76.502964"
"Avenida 2A Norte | Calle 73C Norte","Avenida 2A Norte","Calle 73C Norte","3.49221","-76.5026971"
"Avenida 2A Norte | Calle 74 Norte","Avenida 2A Norte","Calle 74 Norte","3.4924668","-76.5024287"
"Avenida 2A Norte | Calle 74A Norte","Avenida 2A Norte","Calle 74A Norte","3.4927164","-76.5021864"
"Avenida 2A Norte | Calle 74B Norte","Avenida 2A Norte","Calle 74B Norte","3.4929331","-76.501942"
"Avenida 2A Norte | Calle 74C Norte","Avenida 2A Norte","Calle 74C Norte","3.4931705","-76.5017069"
"Avenida 2A Norte | Calle 75 Norte","Avenida 2A Norte","Calle 75 Norte","3.4934367","-76.5014346"
"Avenida 2A Norte | Calle 75E Norte","Avenida 2A Norte","Calle 75E Norte","3.4948933","-76.4996175"
"Avenida 2B 1 Norte | Calle 73 Norte","Avenida 2B 1 Norte","Calle 73 Norte","3.4923948","-76.5046457"
"Avenida 2B 1 Norte | Calle 73A Norte","Avenida 2B 1 Norte","Calle 73A Norte","3.49282","-76.504519"
"Avenida 2B 1 Norte | Calle 73B Norte","Avenida 2B 1 Norte","Calle 73B Norte","3.4928884","-76.5039017"
"Avenida 2B 1 Norte | Calle 74 Norte","Avenida 2B 1 Norte","Calle 74 Norte","3.493435","-76.5033869"
"Avenida 2B 1 Norte | Calle 75 Norte","Avenida 2B 1 Norte","Calle 75 Norte","3.4944912","-76.50252"
"Avenida 2B 1 Norte | Calle 75C Norte","Avenida 2B 1 Norte","Calle 75C Norte","3.4953825","-76.5021243"
"Avenida 2B 2 Norte | Calle 73A Norte","Avenida 2B 2 Norte","Calle 73A Norte","3.4937625","-76.5050623"
"Avenida 2B 2 Norte | Calle 74 Norte","Avenida 2B 2 Norte","Calle 74 Norte","3.4943718","-76.5038471"
"Avenida 2B Norte | Avenida 6 Norte","Avenida 2B Norte","Avenida 6 Norte","3.4729103","-76.5263297"
"Avenida 2B Norte | Calle 24 Norte","Avenida 2B Norte","Calle 24 Norte","3.4676044","-76.5245011"
"Avenida 2B Norte | Calle 25 Norte","Avenida 2B Norte","Calle 25 Norte","3.4683231","-76.524678"
"Avenida 2B Norte | Calle 26 Norte","Avenida 2B Norte","Calle 26 Norte","3.4690254","-76.525002"
"Avenida 2B Norte | Calle 28 Norte","Avenida 2B Norte","Calle 28 Norte","3.4700199","-76.5252542"
"Avenida 2B Norte | Calle 30 Norte","Avenida 2B Norte","Calle 30 Norte","3.4656373","-76.5212643"
"Avenida 2B Norte | Calle 31 Norte","Avenida 2B Norte","Calle 31 Norte","3.4658054","-76.5207003"
"Avenida 2B Norte | Calle 32 Norte","Avenida 2B Norte","Calle 32 Norte","3.4669978","-76.5201344"
"Avenida 2B Norte | Calle 32A Norte","Avenida 2B Norte","Calle 32A Norte","3.4679655","-76.5204402"
"Avenida 2B Norte | Calle 33 Norte","Avenida 2B Norte","Calle 33 Norte","3.4685044","-76.5200087"
"Avenida 2B Norte | Calle 33A Norte","Avenida 2B Norte","Calle 33A Norte","3.469029","-76.5196102"
"Avenida 2B Norte | Calle 34 Norte","Avenida 2B Norte","Calle 34 Norte","3.4696057","-76.519144"
"Avenida 2B Norte | Calle 34A Norte","Avenida 2B Norte","Calle 34A Norte","3.4703361","-76.5190398"
"Avenida 2B Norte | Calle 35 Norte","Avenida 2B Norte","Calle 35 Norte","3.4727248","-76.5261336"
"Avenida 2B Norte | Calle 35A Norte","Avenida 2B Norte","Calle 35A Norte","3.4711204","-76.5185507"
"Avenida 2B Norte | Calle 36 Norte","Avenida 2B Norte","Calle 36 Norte","3.4715417","-76.5182969"
"Avenida 2B Norte | Calle 36A Norte","Avenida 2B Norte","Calle 36A Norte","3.4719237","-76.5180471"
"Avenida 2B Norte | Calle 37 Norte","Avenida 2B Norte","Calle 37 Norte","3.4723141","-76.5178077"
"Avenida 2B Norte | Calle 37A Norte","Avenida 2B Norte","Calle 37A Norte","3.4727114","-76.5175455"
"Avenida 2B Norte | Calle 38 Norte","Avenida 2B Norte","Calle 38 Norte","3.4730971","-76.5173084"
"Avenida 2B Norte | Calle 38A Norte","Avenida 2B Norte","Calle 38A Norte","3.4734764","-76.5170687"
"Avenida 2B Norte | Calle 39 Norte","Avenida 2B Norte","Calle 39 Norte","3.4736073","-76.5161278"
"Avenida 2B Norte | Calle 43 Norte","Avenida 2B Norte","Calle 43 Norte","3.4749422","-76.5151889"
"Avenida 2B Norte | Calle 44 Norte","Avenida 2B Norte","Calle 44 Norte","3.4755029","-76.5147821"
"Avenida 2B Norte | Calle 44A Norte","Avenida 2B Norte","Calle 44A Norte","3.4759173","-76.514436"
"Avenida 2B Norte | Calle 45 Norte","Avenida 2B Norte","Calle 45 Norte","3.4771414","-76.5136278"
"Avenida 2B Norte | Calle 51 Norte","Avenida 2B Norte","Calle 51 Norte","3.4809235","-76.510707"
"Avenida 2B Norte | Calle 52 Norte","Avenida 2B Norte","Calle 52 Norte","3.4816468","-76.5102572"
"Avenida 2B Norte | Calle 56 Norte","Avenida 2B Norte","Calle 56 Norte","3.483776","-76.5076702"
"Avenida 2B Norte | Calle 57 Norte","Avenida 2B Norte","Calle 57 Norte","3.4840082","-76.5075113"
"Avenida 2B Norte | Calle 58 Norte","Avenida 2B Norte","Calle 58 Norte","3.4846419","-76.5067929"
"Avenida 2B Norte | Calle 59 Norte","Avenida 2B Norte","Calle 59 Norte","3.4848899","-76.5066402"
"Avenida 2B Norte | Calle 61 Norte","Avenida 2B Norte","Calle 61 Norte","3.485523","-76.5058987"
"Avenida 2B Norte | Calle 61A Norte","Avenida 2B Norte","Calle 61A Norte","3.4857449","-76.5057598"
"Avenida 2B Norte | Calle 70 Norte","Avenida 2B Norte","Calle 70 Norte","3.4897196","-76.5066418"
"Avenida 2B Norte | Calle 71","Avenida 2B Norte","Calle 71","3.4905591","-76.5058264"
"Avenida 2B Norte | Calle 72","Avenida 2B Norte","Calle 72","3.4914049","-76.5050122"
"Avenida 2B Norte | Calle 72A Norte","Avenida 2B Norte","Calle 72A Norte","3.4917923","-76.5046362"
"Avenida 2B Norte | Calle 72B Norte","Avenida 2B Norte","Calle 72B Norte","3.4920019","-76.5044296"
"Avenida 2B Norte | Calle 73 Norte","Avenida 2B Norte","Calle 73 Norte","3.4922557","-76.5041808"
"Avenida 2B Norte | Calle 73A Norte","Avenida 2B Norte","Calle 73A Norte","3.4924704","-76.5039168"
"Avenida 2B Norte | Calle 73B Norte","Avenida 2B Norte","Calle 73B Norte","3.4926738","-76.503632"
"Avenida 2B Norte | Calle 73C Norte","Avenida 2B Norte","Calle 73C Norte","3.4929084","-76.5033557"
"Avenida 2B Norte | Calle 74 Norte","Avenida 2B Norte","Calle 74 Norte","3.4931629","-76.5031126"
"Avenida 2B Norte | Calle 74A Norte","Avenida 2B Norte","Calle 74A Norte","3.4934498","-76.5028578"
"Avenida 2B Norte | Calle 74B Norte","Avenida 2B Norte","Calle 74B Norte","3.4936603","-76.5026166"
"Avenida 2B Norte | Calle 74C Norte","Avenida 2B Norte","Calle 74C Norte","3.4939334","-76.5023824"
"Avenida 2B Norte | Calle 75 Norte","Avenida 2B Norte","Calle 75 Norte","3.4942627","-76.5022365"
"Avenida 2B Norte | Calle 75A Norte","Avenida 2B Norte","Calle 75A Norte","3.4946346","-76.5020911"
"Avenida 2B Norte | Calle 75B Norte","Avenida 2B Norte","Calle 75B Norte","3.4949633","-76.5019743"
"Avenida 2B Norte | Calle 75C Norte","Avenida 2B Norte","Calle 75C Norte","3.4952319","-76.5018427"
"Avenida 2B Norte | Calle 75D Norte","Avenida 2B Norte","Calle 75D Norte","3.4956763","-76.5016557"
"Avenida 2C Norte | Calle 23A Norte","Avenida 2C Norte","Calle 23A Norte","3.4629228","-76.5252541"
"Avenida 2C Norte | Calle 24 Norte","Avenida 2C Norte","Calle 24 Norte","3.4631502","-76.5241673"
"Avenida 2C Norte | Calle 25 Norte","Avenida 2C Norte","Calle 25 Norte","3.4635495","-76.5222671"
"Avenida 2C Norte | Calle 39 Norte","Avenida 2C Norte","Calle 39 Norte","3.4738746","-76.5165577"
"Avenida 2C Norte | Calle 43 Norte","Avenida 2C Norte","Calle 43 Norte","3.4753061","-76.5155523"
"Avenida 2C Norte | Calle 44A Norte","Avenida 2C Norte","Calle 44A Norte","3.4763322","-76.5147771"
"Avenida 2C Norte | Calle 45 Norte","Avenida 2C Norte","Calle 45 Norte","3.4773783","-76.5139811"
"Avenida 2C Norte | Calle 51 Norte","Avenida 2C Norte","Calle 51 Norte","3.4811441","-76.5110849"
"Avenida 2C Norte | Calle 52 Norte","Avenida 2C Norte","Calle 52 Norte","3.4818863","-76.5106559"
"Avenida 2C Norte | Calle 58 Norte","Avenida 2C Norte","Calle 58 Norte","3.4850113","-76.5074035"
"Avenida 2C Norte | Calle 59 Norte","Avenida 2C Norte","Calle 59 Norte","3.4852467","-76.5072651"
"Avenida 2C Norte | Calle 61 Norte","Avenida 2C Norte","Calle 61 Norte","3.486051","-76.5067965"
"Avenida 2C Norte | Calle 61A Norte","Avenida 2C Norte","Calle 61A Norte","3.4862743","-76.5066575"
"Avenida 2C Norte | Calle 62 Norte","Avenida 2C Norte","Calle 62 Norte","3.4865786","-76.5064709"
"Avenida 2C Norte | Calle 62A Norte","Avenida 2C Norte","Calle 62A Norte","3.4868252","-76.5063219"
"Avenida 2C Norte | Calle 70 Norte","Avenida 2C Norte","Calle 70 Norte","3.4900527","-76.5076944"
"Avenida 2C Norte | Calle 71","Avenida 2C Norte","Calle 71","3.4910262","-76.5073378"
"Avenida 2C Norte | Calle 72 Norte","Avenida 2C Norte","Calle 72 Norte","3.4919892","-76.5069926"
"Avenida 2C Norte | Calle 73 Norte","Avenida 2C Norte","Calle 73 Norte","3.4929704","-76.5066425"
"Avenida 2C Norte | Calle 73A Norte","Avenida 2C Norte","Calle 73A Norte","3.4947367","-76.5055857"
"Avenida 2C Norte | Calle 74 Norte","Avenida 2C Norte","Calle 74 Norte","3.4952746","-76.5043347"
"Avenida 2C Norte | Calle 75 Norte","Avenida 2C Norte","Calle 75 Norte","3.4957693","-76.5031844"
"Avenida 2C Norte | Calle 75C Norte","Avenida 2C Norte","Calle 75C Norte","3.4960836","-76.5024534"
"Avenida 2D Norte | Calle 24 Norte","Avenida 2D Norte","Calle 24 Norte","3.4637646","-76.5242879"
"Avenida 2D Norte | Calle 25 Norte","Avenida 2D Norte","Calle 25 Norte","3.4641595","-76.5224641"
"Avenida 2D Norte | Calle 40 Norte","Avenida 2D Norte","Calle 40 Norte","3.4746039","-76.5166963"
"Avenida 2D Norte | Calle 43 Norte","Avenida 2D Norte","Calle 43 Norte","3.4756765","-76.5158174"
"Avenida 2D Norte | Calle 51 Norte","Avenida 2D Norte","Calle 51 Norte","3.481386","-76.5114939"
"Avenida 2D Norte | Calle 52 Norte","Avenida 2D Norte","Calle 52 Norte","3.4821395","-76.5110763"
"Avenida 2D Norte | Calle 56 Norte","Avenida 2D Norte","Calle 56 Norte","3.4842064","-76.5083749"
"Avenida 2D Norte | Calle 57 Norte","Avenida 2D Norte","Calle 57 Norte","3.4844369","-76.5082278"
"Avenida 2D Norte | Calle 58 Norte","Avenida 2D Norte","Calle 58 Norte","3.4852378","-76.5077822"
"Avenida 2E | Calle 38A Norte","Avenida 2E","Calle 38A Norte","3.4739732","-76.5178247"
"Avenida 2E | Calle 39 Norte","Avenida 2E","Calle 39 Norte","3.4744704","-76.5175161"
"Avenida 2E Norte | Calle 24 Norte","Avenida 2E Norte","Calle 24 Norte","3.4643471","-76.5243788"
"Avenida 2E Norte | Calle 25 Norte","Avenida 2E Norte","Calle 25 Norte","3.4646748","-76.522861"
"Avenida 2E Norte | Calle 32 Norte","Avenida 2E Norte","Calle 32 Norte","3.4681444","-76.5219209"
"Avenida 2E Norte | Calle 32A Norte","Avenida 2E Norte","Calle 32A Norte","3.4687646","-76.5214498"
"Avenida 2E Norte | Calle 33 Norte","Avenida 2E Norte","Calle 33 Norte","3.4693054","-76.5210631"
"Avenida 2E Norte | Calle 33A Norte","Avenida 2E Norte","Calle 33A Norte","3.4698313","-76.5206386"
"Avenida 2E Norte | Calle 34 Norte","Avenida 2E Norte","Calle 34 Norte","3.4703982","-76.5201946"
"Avenida 2E Norte | Calle 39 Norte","Avenida 2E Norte","Calle 39 Norte","3.4744149","-76.5174206"
"Avenida 2E Norte | Calle 40 Norte","Avenida 2E Norte","Calle 40 Norte","3.4748589","-76.517145"
"Avenida 2E Norte | Calle 43 Norte","Avenida 2E Norte","Calle 43 Norte","3.4762094","-76.5161318"
"Avenida 2E Norte | Calle 44 Norte","Avenida 2E Norte","Calle 44 Norte","3.4765046","-76.5156343"
"Avenida 2E Norte | Calle 44A Norte","Avenida 2E Norte","Calle 44A Norte","3.4768422","-76.5150782"
"Avenida 2E Norte | Calle 45 Norte","Avenida 2E Norte","Calle 45 Norte","3.4779333","-76.5142837"
"Avenida 2E Norte | Calle 46A Norte","Avenida 2E Norte","Calle 46A Norte","3.4783599","-76.5140626"
"Avenida 2E Norte | Calle 47 Norte","Avenida 2E Norte","Calle 47 Norte","3.4787715","-76.5138095"
"Avenida 2E Norte | Calle 47A Norte","Avenida 2E Norte","Calle 47A Norte","3.4790024","-76.5132682"
"Avenida 2E Norte | Calle 47B Norte","Avenida 2E Norte","Calle 47B Norte","3.4794798","-76.5131428"
"Avenida 2E Norte | Calle 47C Norte","Avenida 2E Norte","Calle 47C Norte","3.4798499","-76.5129008"
"Avenida 2E Norte | Calle 48 Norte","Avenida 2E Norte","Calle 48 Norte","3.4802396","-76.5126015"
"Avenida 2E Norte | Calle 49 Norte","Avenida 2E Norte","Calle 49 Norte","3.4808313","-76.5126514"
"Avenida 2E Norte | Calle 50 Norte","Avenida 2E Norte","Calle 50 Norte","3.4812891","-76.5123906"
"Avenida 2E Norte | Calle 51 Norte","Avenida 2E Norte","Calle 51 Norte","3.481753","-76.5121086"
"Avenida 2E Norte | Calle 52 Norte","Avenida 2E Norte","Calle 52 Norte","3.4823911","-76.5114914"
"Avenida 2E Norte | Calle 52A Norte","Avenida 2E Norte","Calle 52A Norte","3.4823172","-76.510159"
"Avenida 2E Norte | Calle 53 Norte","Avenida 2E Norte","Calle 53 Norte","3.4829243","-76.5097318"
"Avenida 2E Norte | Calle 55 Norte","Avenida 2E Norte","Calle 55 Norte","3.4836979","-76.5091992"
"Avenida 2E Norte | Calle 56 Norte","Avenida 2E Norte","Calle 56 Norte","3.484427","-76.5087582"
"Avenida 2F Norte | Calle 34 Norte","Avenida 2F Norte","Calle 34 Norte","3.4707028","-76.5203796"
"Avenida 2F Norte | Calle 34A Norte","Avenida 2F Norte","Calle 34A Norte","3.4710624","-76.5201526"
"Avenida 2F Norte | Calle 35A Norte","Avenida 2F Norte","Calle 35A Norte","3.4718251","-76.519671"
